Index, Title, Author, ISBN, Language, Pages, Published, Genre, Rating, Score, Vote, Link, Author_Link, Image, Image_Small, Description 
22, Before I Go, Colleen Oakley,9.78148E+12, English,309," January 6, 2015"," Fiction, Romance, Contemporary, Chick Lit, Adult, Adult Fiction, Audiobook", 3.80 avg rating - 12.839 ratings,1.169,12, https://www.goodreads.com/book/show/20871704-before-i-go, https://www.goodreads.com/author/show/3126893.Colleen_Oakley, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1397917357i/20871704.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1397917357i/20871704._SY75_.jpg," A heart-wrenching debut novel in the bestselling tradition of P. S. I Love You about a young woman with breast cancer who undertakes a mission to find a new wife for her husband before she passes away. Twenty-seven-year-old Daisy already beat breast cancer three years ago. How can this be happening to her again?On the eve of what was supposed to be a triumphant “Cancerversary” with her husband Jack to celebrate three years of being cancer-free, Daisy suffers a devastating blow: her doctor tells her that the cancer is back, but this time it’s an aggressive stage four diagnosis. She may have as few as four months left to live. Death is a frightening prospect—but not because she’s afraid for herself. She’s terrified of what will happen to her brilliant but otherwise charmingly helpless husband when she’s no longer there to take care of him. It’s this fear that keeps her up at night, until she stumbles on the solution: she has to find him another wife. With a singular determination, Daisy scouts local parks and coffee shops and online dating sites looking for Jack’s perfect match. But the further she gets on her quest, the more she questions the sanity of her plan. As the thought of her husband with another woman becomes all too real, Daisy’s forced to decide what’s more important in the short amount of time she has left: her husband’s happiness—or her own?"
23, As Chimney Sweepers Come to Dust (Flavia de Luce #7), Alan Bradley,9.78035E+12, English,392," January 6, 2015"," Mystery, Fiction, Historical Fiction, Audiobook, Young Adult, Historical, Canada", 3.96 avg rating - 26.661 ratings,1.092,11, https://www.goodreads.com/book/show/21874813-as-chimney-sweepers-come-to-dust, https://www.goodreads.com/author/show/1074866.Alan_Bradley, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1406214651i/21874813.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1406214651i/21874813._SX50_.jpg," NEW YORK TIMES BESTSELLERFlavia de Luce—“part Harriet the Spy, part Violet Baudelaire from Lemony Snicket’s A Series of Unfortunate Events” (The New York Times Book Review)—takes her remarkable sleuthing prowess to the unexpectedly unsavory world of Canadian boarding schools in the captivating new mystery from New York Times bestselling author Alan Bradley. Banished! is how twelve-year-old Flavia de Luce laments her predicament, when her father and Aunt Felicity ship her off to Miss Bodycote’s Female Academy, the boarding school that her mother, Harriet, once attended across the sea in Canada. The sun has not yet risen on Flavia’s first day in captivity when a gift lands at her feet. Flavia being Flavia, a budding chemist and sleuth, that gift is a charred and mummified body, which tumbles out of a bedroom chimney. Now, while attending classes, making friends (and enemies), and assessing the school’s stern headmistress and faculty (one of whom is an acquitted murderess), Flavia is on the hunt for the victim’s identity and time of death, as well as suspects, motives, and means. Rumors swirl that Miss Bodycote’s is haunted, and that several girls have disappeared without a trace. When it comes to solving multiple mysteries, Flavia is up to the task—but her true destiny has yet to be revealed. Praise for As Chimney Sweepers Come to Dust  “Flavia de Luce [is] perhaps contemporary crime fiction’s most original character—to say she is Pippi Longstocking with a Ph. D. in chemistry (speciality: poisons) barely begins to describe her. ”—Maclean’s  “Another treat for readers of all ages . . . [As Chimney Sweepers Come to Dust] maintains the high standards Bradley set from the start. ”—Booklist  “Exceptional . . . [The] intriguing setup only gets better, and Bradley makes Miss Bodycote’s a suitably Gothic setting for Flavia’s sleuthing. Through it all, her morbid narrative voice continues to charm. ”—Publishers Weekly (starred review)  “Even after all these years, Flavia de Luce is still the world’s greatest adolescent British chemist/busybody/sleuth. ”—The Seattle Times  “Plot twists come faster than Canadian snowfall. . . . Bradley’s sense of observation is as keen as gung-ho scientist Flavia’s. . . . The results so far are seven sparkling Flavia de Luce mysteries. ”—Library Journal   “A rattling good ‘girls’ own adventure’ yarn with an extensive cast of characters and suspects . . . When all is revealed, the links, misunderstandings and secrecy have a satisfying click. ”—Winnipeg Free Press  “A delightful installment in the series!”—LibraryReads  Acclaim for Alan Bradley’s beloved Flavia de Luce novels, winners of the Crime Writers’ Association Debut Dagger Award, Barry Award, Agatha Award, Macavity Award, Dilys Winn Award, and Arthur Ellis Award   “If ever there were a sleuth who’s bold, brilliant, and, yes, adorable, it’s Flavia de Luce. ”—USA Today   “This idiosyncratic young heroine continues to charm. ”—The Wall Street Journal   “Delightful . . . a combination of Eloise and Sherlock Holmes. ”—The Boston GlobeFrom the Hardcover edition. "
24, Revival, Stephen King,9.78148E+12, English,405," January 1, 2014"," Horror, Fiction, Thriller, Fantasy, Mystery, Audiobook, Science Fiction", 3.80 avg rating - 118.199 ratings,1.08,11, https://www.goodreads.com/book/show/20926278-revival, https://www.goodreads.com/author/show/3389.Stephen_King, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1510335323i/20926278.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1510335323i/20926278._SY75_.jpg," A dark and electrifying novel about addiction, fanaticism, and what might exist on the other side of life. In a small New England town, over half a century ago, a shadow falls over a small boy playing with his toy soldiers. Jamie Morton looks up to see a striking man, the new minister. Charles Jacobs, along with his beautiful wife, will transform the local church. The men and boys are all a bit in love with Mrs. Jacobs the women and girls feel the same about Reverend Jacobs—including Jamie's mother and beloved sister, Claire. With Jamie, the Reverend shares a deeper bond based on a secret obsession. When tragedy strikes the Jacobs family, this charismatic preacher curses God, mocks all religious belief, and is banished from the shocked town. Jamie has demons of his own. Wed to his guitar from the age of thirteen, he plays in bands across the country, living the nomadic lifestyle of bar-band rock and roll while fleeing from his family's horrific loss. In his mid-thirties—addicted to heroin, stranded, desperate—Jamie meets Charles Jacobs again, with profound consequences for both men. Their bond becomes a pact beyond even the Devil's devising, and Jamie discovers that revival has many meanings. This rich and disturbing novel spans five decades on its way to the most terrifying conclusion Stephen King has ever written. It's a masterpiece from King, in the great American tradition of Frank Norris, Nathaniel Hawthorne, and Edgar Allan Poe. "
25, Edge of Eternity (The Century Trilogy #3), Ken Follett,9.78053E+12, English,1098," September 16, 2014"," Historical Fiction, Fiction, Historical, Audiobook, War, Novels, Adult", 4.17 avg rating - 99.270 ratings,1.065,11, https://www.goodreads.com/book/show/11389875-edge-of-eternity, https://www.goodreads.com/author/show/3447.Ken_Follett, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1377871984i/11389875.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1377871984i/11389875._SY75_.jpg," Edge of Eternity is the sweeping, passionate conclusion to Ken Follett’s extraordinary historical epic, The Century Trilogy. Throughout these books, Follett has followed the fortunes of five intertwined families – American, German, Russian, English, and Welsh – as they make their way through the twentieth century. Now they come to one of the most tumultuous eras of all: the enormous social, political, and economic turmoil of the 1960s through the 1980s, from civil rights, assassinations, mass political movements and Vietnam to the Berlin Wall, the Cuban Missile Crisis, presidential impeachment, revolution – and rock and roll. East German teacher Rebecca Hoffman discovers she’s been spied on by the Stasi for years and commits an impulsive act that will affect her family for the rest of their lives. …George Jakes, the child of a mixed-race couple, bypasses a corporate law career to join Robert F. Kennedy’s Justice Department, and finds himself in the middle not only of the seminal events of the civil rights battle, but a much more personal battle of his own. …Cameron Dewar, the grandson of a senator, jumps at the chance to do some official and unofficial espionage for a cause he believes in, only to discover that the world is a much more dangerous place than he’d imagined. …Dimka Dvorkin, a young aide to Nikita Khrushchev, becomes a prime agent both for good and for ill as the United States and the Soviet Union race to the brink of nuclear war, while his twin sister, Tania, carves out a role that will take her from Moscow to Cuba to Prague to Warsaw – and into history. As always with Follett, the historical background is brilliantly researched and rendered, the action fast-moving, the characters rich in nuance and emotion. With the hand of a master, he brings us into a world we thought we knew but now will never seem the same again. "
26, The Selection (The Selection #1), Kiera Cass,9.78006E+12, English,336," April 24, 2012"," Young Adult, Romance, Dystopia, Fantasy, Fiction, Science Fiction, Audiobook", 4.09 avg rating - 1.408.760 ratings,1.064,11, https://www.goodreads.com/book/show/10507293-the-selection, https://www.goodreads.com/author/show/2987125.Kiera_Cass, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1322103400i/10507293.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1322103400i/10507293._SY75_.jpg," For thirty-five girls, the Selection is the chance of a lifetime. The opportunity to escape the life laid out for them since birth. To be swept up in a world of glittering gowns and priceless jewels. To live in a palace and compete for the heart of gorgeous Prince Maxon. But for America Singer, being Selected is a nightmare. It means turning her back on her secret love with Aspen, who is a caste below her. Leaving her home to enter a fierce competition for a crown she doesn't want. Living in a palace that is constantly threatened by violent rebel attacks. Then America meets Prince Maxon. Gradually, she starts to question all the plans she's made for herself—and realizes that the life she's always dreamed of may not compare to a future she never imagined. "
27, Station Eleven, Emily St. John Mandel,9.78039E+12, English,333," September 9, 2014"," Fiction, Science Fiction, Dystopia, Post Apocalyptic, Audiobook, Adult, Fantasy", 4.07 avg rating - 465.724 ratings,1.062,11, https://www.goodreads.com/book/show/20170404-station-eleven, https://www.goodreads.com/author/show/2786093.Emily_St_John_Mandel, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1680459872i/20170404.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1680459872i/20170404._SX50_.jpg," Set in the days of civilization's collapse, Station Eleven tells the story of a Hollywood star, his would-be savior, and a nomadic group of actors roaming the scattered outposts of the Great Lakes region, risking everything for art and humanity. One snowy night a famous Hollywood actor slumps over and dies onstage during a production of King Lear. Hours later, the world as we know it begins to dissolve. Moving back and forth in time—from the actor's early days as a film star to fifteen years in the future, when a theater troupe known as the Traveling Symphony roams the wasteland of what remains—this suspenseful, elegiac, spellbinding novel charts the strange twists of fate that connect five people: the actor, the man who tried to save him, the actor's first wife, his oldest friend, and a young actress with the Traveling Symphony, caught in the crosshairs of a dangerous self-proclaimed prophet. "
28, Paper Towns, John Green,9.78014E+12, English,305," October 16, 2008"," Young Adult, Fiction, Contemporary, Romance, Mystery, Realistic Fiction, Coming Of Age", 3.73 avg rating - 1.260.627 ratings,1.062,11, https://www.goodreads.com/book/show/6442769-paper-towns, https://www.goodreads.com/author/show/1406384.John_Green, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1349013610i/6442769.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1349013610i/6442769._SX50_.jpg," Who is the real Margo?Quentin Jacobsen has spent a lifetime loving the magnificently adventurous Margo Roth Spiegelman from afar. So when she cracks open a window and climbs into his life—dressed like a ninja and summoning him for an ingenious campaign of revenge—he follows. After their all-nighter ends, and a new day breaks, Q arrives at school to discover that Margo, always an enigma, has now become a mystery. But Q soon learns that there are clues—and they're for him. Urged down a disconnected path, the closer he gets, the less Q sees the girl he thought he knew. . . "
29, The Perks of Being a Wallflower, Stephen Chbosky, null, English,213," February 1, 1999"," Young Adult, Fiction, Contemporary, Classics, Mental Health, Realistic Fiction, LGBT", 4.22 avg rating - 1.660.360 ratings,1.061,11, https://www.goodreads.com/book/show/22628.The_Perks_of_Being_a_Wallflower, https://www.goodreads.com/author/show/12898.Stephen_Chbosky, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1650033115i/22628.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1650033115i/22628._SX50_.jpg," standing on the fringes of life. . . offers a unique perspective. But there comes a time to seewhat it looks like from the dance floor. This haunting novel about the dilemma of passivity vs. passion marks the stunning debut of a provocative new voice in contemporary fiction: The Perks of Being A WALLFLOWERThis is the story of what it's like to grow up in high school. More intimate than a diary, Charlie's letters are singular and unique, hilarious and devastating. We may not know where he lives. We may not know to whom he is writing. All we know is the world he shares. Caught between trying to live his life and trying to run from it puts him on a strange course through uncharted territory. The world of first dates and mixed tapes, family dramas and new friends. The world of sex, drugs, and The Rocky Horror Picture Show, when all one requires is that the perfect song on that perfect drive to feel infinite. Through Charlie, Stephen Chbosky has created a deeply affecting coming-of-age story, a powerful novel that will spirit you back to those wild and poignant roller coaster days known as growing up. (back cover)"
30, The Rosie Project (Don Tillman #1), Graeme Simsion, null, English,305," January 30, 2013"," Fiction, Romance, Contemporary, Humor, Chick Lit, Adult, Audiobook", 4.02 avg rating - 531.842 ratings,1.054,11, https://www.goodreads.com/book/show/17925125-the-rosie-project, https://www.goodreads.com/author/show/1895943.Graeme_Simsion, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1368547996i/17925125.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1368547996i/17925125._SY75_.jpg," An international sensation, this hilarious, feel-good novel is narrated by an oddly charming and socially challenged genetics professor on an unusual quest: to find out if he is capable of true love. Don Tillman, professor of genetics, has never been on a second date. He is a man who can count all his friends on the fingers of one hand, whose lifelong difficulty with social rituals has convinced him that he is simply not wired for romance. So when an acquaintance informs him that he would make a “wonderful” husband, his first reaction is shock. Yet he must concede to the statistical probability that there is someone for everyone, and he embarks upon The Wife Project. In the orderly, evidence-based manner with which he approaches all things, Don sets out to find the perfect partner. She will be punctual and logical—most definitely not a barmaid, a smoker, a drinker, or a late-arriver. Yet Rosie Jarman is all these things. She is also beguiling, fiery, intelligent—and on a quest of her own. She is looking for her biological father, a search that a certain DNA expert might be able to help her with. Don's Wife Project takes a back burner to the Father Project and an unlikely relationship blooms, forcing the scientifically minded geneticist to confront the spontaneous whirlwind that is Rosie—and the realization that love is not always what looks good on paper. The Rosie Project is a moving and hilarious novel for anyone who has ever tenaciously gone after life or love in the face of overwhelming challenges. "
31, Carry On (Simon Snow #1), Rainbow Rowell,9.78125E+12, English,522," October 6, 2015"," Fantasy, Young Adult, LGBT, Romance, Fiction, Queer, Magic", 4.19 avg rating - 293.597 ratings,881,9, https://www.goodreads.com/book/show/23734628-carry-on, https://www.goodreads.com/author/show/4208569.Rainbow_Rowell, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1514812545i/23734628.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1514812545i/23734628._SY75_.jpg," Simon Snow is the worst chosen one who’s ever been chosen. That’s what his roommate, Baz, says. And Baz might be evil and a vampire and a complete git, but he’s probably right. Half the time, Simon can’t even make his wand work, and the other half, he sets something on fire. His mentor’s avoiding him, his girlfriend broke up with him, and there’s a magic-eating monster running around wearing Simon’s face. Baz would be having a field day with all this, if he were here—it’s their last year at the Watford School of Magicks, and Simon’s infuriating nemesis didn’t even bother to show up. Carry On is a ghost story, a love story, a mystery and a melodrama. It has just as much kissing and talking as you’d expect from a Rainbow Rowell story—but far, far more monsters. "
32, The Boston Girl, Anita Diamant,9.78144E+12, English,320," December 9, 2014"," Historical Fiction, Fiction, Audiobook, Historical, Adult Fiction, Book Club, Adult", 3.82 avg rating - 83.530 ratings,879,9, https://www.goodreads.com/book/show/22450859-the-boston-girl, https://www.goodreads.com/author/show/626222.Anita_Diamant, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1418103945i/22450859.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1418103945i/22450859._SX50_.jpg," From the New York Times bestselling author of The Red Tent and Day After Night, comes an unforgettable coming-of-age novel about family ties and values, friendship and feminism told through the eyes of a young Jewish woman growing up in Boston in the early twentieth century. Addie Baum is The Boston Girl, born in 1900 to immigrant parents who were unprepared for and suspicious of America and its effect on their three daughters. Growing up in the North End, then a teeming multicultural neighborhood, Addie's intelligence and curiosity take her to a world her parents can't imagine - a world of short skirts, movies, celebrity culture and new opportunities for women. Addie wants to finish high school and dreams of going to college. She wants a career and to find true love. Eighty-five-year-old Addie tells the story of her life to her twenty-two-year-old granddaughter, who has asked her ""How did you get to be the woman you are today?"" She begins in 1915, the year she found her voice and made friends who would help shape the course of her life. From the one-room tenement apartment she shared with her parents and two sisters, to the library group for girls she joins at a neighborhood settlement house, to her first, disastrous love affair, Addie recalls her adventures with compassion for the naïve girl she was and a wicked sense of humor. Written with the same attention to historical detail and emotional resonance that made Anita Diamant's previous novels bestsellers, The Boston Girl is a moving portrait of one woman’s complicated life in twentieth-century America, and a fascinating look at a generation of women finding their places in a changing world. "
33, Golden Son (Red Rising Saga #2), Pierce Brown,9.78035E+12, English,430," January 6, 2015"," Science Fiction, Fantasy, Fiction, Dystopia, Young Adult, Audiobook, Adult", 4.44 avg rating - 202.505 ratings,877,9, https://www.goodreads.com/book/show/18966819-golden-son, https://www.goodreads.com/author/show/6474348.Pierce_Brown, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1394684475i/18966819.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1394684475i/18966819._SY75_.jpg," As a Red, Darrow grew up working the mines deep beneath the surface of Mars, enduring backbreaking labor while dreaming of the better future he was building for his descendants. But the Society he faithfully served was built on lies. Darrow’s kind have been betrayed and denied by their elitist masters, the Golds—and their only path to liberation is revolution. And so Darrow sacrifices himself in the name of the greater good for which Eo, his true love and inspiration, laid down her own life. He becomes a Gold, infiltrating their privileged realm so that he can destroy it from within. A lamb among wolves in a cruel world, Darrow finds friendship, respect, and even love—but also the wrath of powerful rivals. To wage and win the war that will change humankind’s destiny, Darrow must confront the treachery arrayed against him, overcome his all-too-human desire for retribution—and strive not for violent revolt but a hopeful rebirth. Though the road ahead is fraught with danger and deceit, Darrow must choose to follow Eo’s principles of love and justice to free his people. He must live for more. "
34, The Burning Room (Harry Bosch #17 -  Harry Bosch Universe #26), Michael Connelly,9.78032E+12, English,388," November 3, 2014"," Mystery, Fiction, Crime, Thriller, Audiobook, Detective, Mystery Thriller", 4.12 avg rating - 56.054 ratings,783,8, https://www.goodreads.com/book/show/20881071-the-burning-room, https://www.goodreads.com/author/show/12470.Michael_Connelly, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1392997140i/20881071.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1392997140i/20881071._SY75_.jpg," In the LAPD's Open-Unsolved Unit, not many murder victims die almost a decade after the crime. So when a man succumbs to complications from being shot by a stray bullet nine years earlier, Bosch catches a case in which the body is still fresh, but any other evidence is virtually nonexistent. Now Bosch and his new partner, rookie Detective Lucia Soto, are tasked with solving what turns out to be a highly charged, politically sensitive case. Starting with the bullet that's been lodged for years in the victim's spine, they must pull new leads from years-old information, which soon reveals that this shooting may have been anything but random. "
35, Finders Keepers (Bill Hodges Trilogy #2), Stephen King,9.7815E+12, English,448," June 2, 2015"," Fiction, Horror, Thriller, Mystery, Crime, Audiobook, Mystery Thriller", 4.06 avg rating - 136.322 ratings,782,8, https://www.goodreads.com/book/show/22453035-finders-keepers, https://www.goodreads.com/author/show/3389.Stephen_King, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1468705421i/22453035.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1468705421i/22453035._SY75_.jpg," Librarian's Note: Alternate cover for this ISBN can be found here. A masterful, intensely suspenseful novel about a reader whose obsession with a reclusive writer goes far too far—a book about the power of storytelling, starring the same trio of unlikely and winning heroes King introduced in Mr. Mercedes“Wake up, genius. ” So begins King’s instantly riveting story about a vengeful reader. The genius is John Rothstein, an iconic author who created a famous character, Jimmy Gold, but who hasn’t published a book for decades. Morris Bellamy is livid, not just because Rothstein has stopped providing books, but because the nonconformist Jimmy Gold has sold out for a career in advertising. Morris kills Rothstein and empties his safe of cash, yes, but the real treasure is a trove of notebooks containing at least one more Gold novel. Morris hides the money and the notebooks, and then he is locked away for another crime. Decades later, a boy named Pete Saubers finds the treasure, and now it is Pete and his family that Bill Hodges, Holly Gibney, and Jerome Robinson must rescue from the ever-more deranged and vengeful Morris when he’s released from prison after thirty-five years. Not since Misery has King played with the notion of a reader whose obsession with a writer gets dangerous. Finders Keepers is spectacular, heart-pounding suspense, but it is also King writing about how literature shapes a life—for good, for bad, forever. "
36, Fangirl, Rainbow Rowell, null, English,483," September 10, 2013"," Young Adult, Romance, Contemporary, Fiction, Realistic Fiction, New Adult, Audiobook", 3.97 avg rating - 717.282 ratings,778,8, https://www.goodreads.com/book/show/16068905-fangirl, https://www.goodreads.com/author/show/4208569.Rainbow_Rowell, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1355886270i/16068905.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1355886270i/16068905._SX50_.jpg," A coming-of-age tale of fanfiction, family, and first love. Cath is a Simon Snow fan. Okay, the whole world is a Simon Snow fan. . . . But for Cath, being a fan is her life—and she's really good at it. She and her twin, Wren, ensconced themselves in the Simon Snow series when they were just kids it's what got them through their mother leaving. Reading. Rereading. Hanging out in Simon Snow forums, writing Simon Snow fanfiction, dressing up like the characters for every movie premiere. Cath's sister has mostly grown away from fandom, but Cath can't let go. She doesn't want to. Now that they're going to college, Wren has told Cath she doesn't want to be roommates. Cath is on her own, completely outside of her comfort zone. She's got a surly roommate with a charming, always-around boyfriend a fiction-writing professor who thinks fanfiction is the end of the civilized world a handsome classmate who only wants to talk about words. . . and she can't stop worrying about her dad, who's loving and fragile and has never really been alone. For Cath, the question is: Can she do this? Can she make it without Wren holding her hand? Is she ready to start living her own life? And does she even want to move on if it means leaving Simon Snow behind?"
37, First Frost (Waverley Family #2), Sarah Addison Allen,9.78125E+12, English,296," January 20, 2015"," Fiction, Magical Realism, Fantasy, Romance, Chick Lit, Contemporary, Magic", 3.97 avg rating - 34.903 ratings,684,7, https://www.goodreads.com/book/show/21853633-first-frost, https://www.goodreads.com/author/show/566874.Sarah_Addison_Allen, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1410962794i/21853633.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1410962794i/21853633._SX50_.jpg," From the New York Times bestselling author of Garden Spells comes a story of the Waverley family, in a novel as sparkling as the first dusting of frost on new-fallen leaves. . It's October in Bascom, North Carolina, and autumn will not go quietly. As temperatures drop and leaves begin to turn, the Waverley women are made restless by the whims of their mischievous apple tree. . . and all the magic that swirls around it. But this year, first frost has much more in store. Claire Waverley has started a successful new venture, Waverley’s Candies. Though her handcrafted confections — rose to recall lost love, lavender to promote happiness and lemon verbena to soothe throats and minds — are singularly effective, the business of selling them is costing her the everyday joys of her family, and her belief in her own precious gifts. Sydney Waverley, too, is losing her balance. With each passing day she longs more for a baby — a namesake for her wonderful Henry. Yet the longer she tries, the more her desire becomes an unquenchable thirst, stealing the pleasure out of the life she already has. Sydney’s daughter, Bay, has lost her heart to the boy she knows it belongs to. . if only he could see it, too. But how can he, when he is so far outside her grasp that he appears to her as little more than a puff of smoke?When a mysterious stranger shows up and challenges the very heart of their family, each of them must make choices they have never confronted before. And through it all, the Waverley sisters must search for a way to hold their family together through their troublesome season of change, waiting for that extraordinary event that is First Frost. Lose yourself in Sarah Addison Allen's enchanting world and fall for her charmed characters in this captivating story that proves that a happily-ever-after is never the real ending to a story. It’s where the real story begins. "
38, World After (Penryn & the End of Days #2), Susan Ee, null, English,320," November 19, 2013"," Fantasy, Young Adult, Angels, Dystopia, Paranormal, Romance, Post Apocalyptic", 4.15 avg rating - 101.156 ratings,666,7, https://www.goodreads.com/book/show/17849112-world-after, https://www.goodreads.com/author/show/4890182.Susan_Ee, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1423238855i/17849112.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1423238855i/17849112._SX50_.jpg," In this sequel to the bestselling fantasy thriller, Angelfall, the survivors of the angel apocalypse begin to scrape back together what's left of the modern world. When a group of people capture Penryn's sister Paige, thinking she's a monster, the situation ends in a massacre. Paige disappears. Humans are terrified. Mom is heartbroken. Penryn drives through the streets of San Francisco looking for Paige. Why are the streets so empty? Where is everybody? Her search leads her into the heart of the angels' secret plans where she catches a glimpse of their motivations, and learns the horrifying extent to which the angels are willing to go. Meanwhile, Raffe hunts for his wings. Without them, he can't rejoin the angels, can't take his rightful place as one of their leaders. When faced with recapturing his wings or helping Penryn survive, which will he choose?"
39, Hush Hush (Hush Hush #1), Becca Fitzpatrick,9.78142E+12, English,391," October 13, 2009"," Young Adult, Fantasy, Romance, Paranormal, Angels, Paranormal Romance, Fiction", 3.93 avg rating - 677.709 ratings,665,7, https://www.goodreads.com/book/show/6339664-hush-hush, https://www.goodreads.com/author/show/2876763.Becca_Fitzpatrick, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1358261334i/6339664.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1358261334i/6339664._SY75_.jpg," A SACRED OATHA FALLEN ANGELA FORBIDDEN LOVERomance was not part of Nora Grey's plan. She's never been particularly attracted to the boys at her school, no matter how hard her best friend, Vee, pushes them at her. Not until Patch comes along. With his easy smile and eyes that seem to see inside her, Patch draws Nora to him against her better judgment. But after a series of terrifying encounters, Nora's not sure whom to trust. Patch seems to be everywhere she is and seems to know more about her than her closest friends. She can't decide whether she should fall into his arms or run and hide. And when she tries to seek some answers, she finds herself near a truth that is way more unsettling than anything Patch makes her feel. For she is right in the middle of an ancient battle between the immortal and those that have fallen - and, when it comes to choosing sides, the wrong choice will cost Nora her life. "
40, The Bone Clocks, David Mitchell,9.7814E+12, English,624," September 2, 2014"," Fiction, Fantasy, Science Fiction, Literary Fiction, Magical Realism, Contemporary, Dystopia", 3.84 avg rating - 92.708 ratings,659,7, https://www.goodreads.com/book/show/20819685-the-bone-clocks, https://www.goodreads.com/author/show/6538289.David_Mitchell, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1398205538i/20819685.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1398205538i/20819685._SX50_.jpg," Following a scalding row with her mother, fifteen-year-old Holly Sykes slams the door on her old life. But Holly is no typical teenage runaway: a sensitive child once contacted by voices she knew only as “the radio people,” Holly is a lightning rod for psychic phenomena. Now, as she wanders deeper into the English countryside, visions and coincidences reorder her reality until they assume the aura of a nightmare brought to life. For Holly has caught the attention of a cabal of dangerous mystics—and their enemies. But her lost weekend is merely the prelude to a shocking disappearance that leaves her family irrevocably scarred. This unsolved mystery will echo through every decade of Holly’s life, affecting all the people Holly loves—even the ones who are not yet born. A Cambridge scholarship boy grooming himself for wealth and influence, a conflicted father who feels alive only while reporting from occupied Iraq, a middle-aged writer mourning his exile from the bestseller list—all have a part to play in this surreal, invisible war on the margins of our world. From the medieval Swiss Alps to the nineteenth-century Australian bush, from a hotel in Shanghai to a Manhattan townhouse in the near future, their stories come together in moments of everyday grace and extraordinary wonder. "
41, Dead Heat (Alpha & Omega #4), Patricia Briggs,9.78043E+12, English,324," March 3, 2015"," Urban Fantasy, Fantasy, Paranormal, Romance, Werewolves, Paranormal Romance, Shapeshifters", 4.31 avg rating - 36.919 ratings,593,6, https://www.goodreads.com/book/show/22571699-dead-heat, https://www.goodreads.com/author/show/40563.Patricia_Briggs, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1406232150i/22571699.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1406232150i/22571699._SY75_.jpg," For once, mated werewolves Charles and Anna are not traveling because of Charles’s role as his father’s enforcer. This time, their trip to Arizona is purely personal--or at least it starts out that way. . . Charles and Anna soon discover that a dangerous Fae being is on the loose, replacing human children with simulacrums. The Fae’s cold war with humanity is about to heat up—and Charles and Anna are in the cross fire. "
